timestamp,open,high,low,close,volume
2008-09-04,0.6000,0.6000,0.5800,0.5800,129776
2008-09-03,0.6000,0.6000,0.5900,0.5900,213055
2008-09-02,0.6000,0.6289,0.5900,0.5901,104893
2008-08-29,0.6000,0.6000,0.5911,0.6000,81971
2008-08-28,0.5900,0.6000,0.5900,0.5900,203087
2008-08-27,0.6000,0.6000,0.5900,0.5950,107300
2008-08-26,0.6300,0.6300,0.5900,0.5900,254903
2008-08-25,0.6200,0.6295,0.6000,0.6100,209661
2008-08-22,0.6300,0.6300,0.5900,0.5909,234790
2008-08-21,0.6500,0.6500,0.5900,0.6000,309529
2008-08-20,0.5998,0.6400,0.5899,0.6200,671630
2008-08-19,0.6200,0.7800,0.5100,0.5600,3078694
2008-08-18,0.6400,0.6500,0.5600,0.6200,181157
2008-08-15,0.5900,0.6500,0.5900,0.6500,171350
2008-08-14,0.6000,0.6000,0.5700,0.5800,167099
2008-08-13,0.6000,0.6000,0.5600,0.5910,201195
2008-08-12,0.6100,0.6400,0.5900,0.5900,101210
2008-08-11,0.6100,0.6500,0.5800,0.6400,93110
2008-08-08,0.6000,0.6000,0.5800,0.5900,26111
2008-08-07,0.5600,0.6300,0.5600,0.5900,88658
2008-08-06,0.6000,0.6200,0.5900,0.5950,43750
2008-08-05,0.6000,0.6100,0.5800,0.5900,48212
2008-08-04,0.5600,0.6100,0.5600,0.5950,32612
2008-08-01,0.5500,0.6200,0.5500,0.5900,322830
2008-07-31,0.6100,0.6300,0.5650,0.5650,161450
2008-07-30,0.6300,0.6300,0.6100,0.6130,110916
2008-07-29,0.6250,0.6300,0.6102,0.6202,37883
2008-07-28,0.6200,0.6300,0.6100,0.6100,29478
2008-07-25,0.6100,0.6494,0.6100,0.6395,16712
2008-07-24,0.6300,0.6400,0.6200,0.6200,129084
2008-07-23,0.6300,0.6498,0.6100,0.6400,34223
2008-07-22,0.6200,0.6500,0.6005,0.6005,51084
2008-07-21,0.6205,0.6495,0.6205,0.6495,51040
2008-07-18,0.6200,0.6400,0.6200,0.6300,32286
2008-07-17,0.6300,0.6500,0.6100,0.6495,58391
2008-07-16,0.6479,0.6500,0.6003,0.6100,136669
2008-07-15,0.6480,0.6480,0.6000,0.6200,176887
2008-07-14,0.6300,0.6500,0.6300,0.6499,41939
2008-07-11,0.6300,0.6500,0.6200,0.6200,116041
2008-07-10,0.6205,0.6489,0.6205,0.6400,94993
2008-07-09,0.6200,0.6498,0.6200,0.6300,65060
2008-07-08,0.6500,0.6600,0.6305,0.6350,193990
2008-07-07,0.6600,0.6700,0.6428,0.6500,58637
2008-07-03,0.6500,0.6790,0.6450,0.6500,51598
2008-07-02,0.6600,0.6800,0.6500,0.6500,70389
2008-07-01,0.6500,0.6650,0.6500,0.6600,81072
2008-06-30,0.6790,0.6800,0.6500,0.6600,165076
2008-06-27,0.6799,0.6850,0.6700,0.6800,91445
2008-06-26,0.6705,0.7000,0.6700,0.6790,145000
2008-06-25,0.7000,0.7000,0.6900,0.6999,98075
2008-06-24,0.6831,0.7100,0.6800,0.6910,87721
2008-06-23,0.6700,0.7100,0.6700,0.6800,117400
2008-06-20,0.6700,0.6995,0.6600,0.6748,74277
2008-06-19,0.6795,0.6800,0.6601,0.6800,82995
2008-06-18,0.7100,0.7100,0.6600,0.6799,101583
2008-06-17,0.6505,0.7200,0.6505,0.7000,774212
2008-06-16,0.6500,0.6800,0.6500,0.6600,24866
2008-06-13,0.6899,0.6899,0.6505,0.6700,112812
2008-06-12,0.6600,0.6800,0.6600,0.6701,35814
2008-06-11,0.6700,0.6799,0.6501,0.6600,36769
2008-06-10,0.6800,0.6800,0.6600,0.6699,107741
2008-06-09,0.6800,0.6800,0.6611,0.6800,93267
2008-06-06,0.6600,0.7000,0.6600,0.6600,100641
2008-06-05,0.6305,0.6800,0.6305,0.6800,86620
2008-06-04,0.6700,0.6898,0.6600,0.6800,150868
2008-06-03,0.6507,0.6900,0.6506,0.6599,78454
2008-06-02,0.6900,0.6900,0.6600,0.6600,64800
2008-05-30,0.6400,0.6895,0.6305,0.6895,145950
2008-05-29,0.6698,0.6700,0.6400,0.6500,52900
2008-05-28,0.6695,0.6699,0.6305,0.6400,41000
2008-05-27,0.6600,0.6900,0.6300,0.6500,65855
2008-05-23,0.6501,0.6799,0.6500,0.6500,94009
2008-05-22,0.6500,0.6600,0.6500,0.6500,37459
2008-05-21,0.6501,0.6699,0.6300,0.6699,129875
2008-05-20,0.6500,0.6600,0.6400,0.6501,163191
2008-05-19,0.6505,0.6900,0.6505,0.6700,69555
2008-05-16,0.6800,0.7000,0.6800,0.6893,52876
2008-05-15,0.6900,0.6900,0.6502,0.6899,171581
2008-05-14,0.6900,0.6900,0.6500,0.6700,152997
2008-05-13,0.6600,0.6800,0.6600,0.6800,71927
2008-05-12,0.6800,0.6800,0.6501,0.6701,30866
2008-05-09,0.6700,0.6800,0.6600,0.6800,85705
2008-05-08,0.6700,0.6900,0.6502,0.6502,65530
2008-05-07,0.6700,0.6990,0.6600,0.6700,54163
2008-05-06,0.6602,0.6800,0.6501,0.6750,81093
2008-05-05,0.6600,0.6900,0.6600,0.6602,55665
2008-05-02,0.6800,0.6900,0.6800,0.6832,89900
2008-05-01,0.6900,0.6900,0.6615,0.6800,39030
2008-04-30,0.6699,0.6898,0.6600,0.6898,102730
2008-04-29,0.6600,0.6800,0.6500,0.6600,56750
2008-04-28,0.6600,0.6800,0.6600,0.6600,126336
2008-04-25,0.6898,0.6900,0.6600,0.6699,85046
2008-04-24,0.6900,0.6900,0.6700,0.6898,17000
2008-04-23,0.6990,0.6990,0.6700,0.6750,43629
2008-04-22,0.6701,0.6900,0.6508,0.6860,65100
2008-04-21,0.6800,0.7000,0.6700,0.6701,99100
2008-04-18,0.6900,0.7000,0.6800,0.6800,75742
2008-04-17,0.6700,0.6999,0.6520,0.6899,68104
2008-04-16,0.6500,0.6800,0.6500,0.6700,150200
2008-04-15,0.7000,0.7000,0.6800,0.6999,80706
